field,prediction_role,mean_field_error,maximum_field_error,mean_volume_error,maximum_volume_error,minimum_prediction,maximum_prediction,maximum_fraction_below_minus_1e_6,maximum_fraction_below_minus_1e_5,maximum_fraction_above_one
bulk,direct_rom,0.003925730298144943,0.006923222666427324,3.593263780907187e-05,7.407038747304666e-05,-3.0556926865346643e-06,0.5747818293285647,0.0033,0.0,0.0
large,derived,0.00997284244019605,0.019180346075728046,7.706925695949648e-05,0.00017100653038430532,-0.0012323717279690838,0.4818480458008785,0.0069,0.0046,0.0
small,direct_rom,0.009404110980873378,0.020261416894912978,2.743931722443448e-05,6.656177682509674e-05,-1.92059852768294e-06,0.5374518723363813,0.002,0.0,0.0
