case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,0,11.163556141501337,11.155898371216006,11.200981163409672,11.861205068709713,12.102660644388136,0.9914887909552053,0.9899882701164684,1.8068546955354121,2.9410530623623848e-05,0.2994535747739953,0.0,0.0,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,0,577.2949362480311,577.2984688894023,576.8608207478256,579.9780440168639,580.3185513946415,0.18090759359678066,0.16295614677768003,580.7255460367717,3.357934251791722e-05,17.23128908574338,0.0,1.09,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,8,10.749232646685005,10.743916181829077,10.710868111782066,11.434242014983255,11.544634575960849,0.9921108570502525,0.9908932135388094,1.7562678516901074,2.8988471240357724e-05,0.3309824297176104,-0.0004080581961058672,0.0,0.023535353535353534,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,8,100.95378311605165,95.8650409719523,76.64764169900175,141.62753659125624,143.57937335310436,0.7007600329334046,0.5654151886129278,82.56711701262921,0.2699290504736306,2.0586703608378487,0.0,0.6171717171717171,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,14,10.550154424788648,10.545967054430895,10.496257703624845,11.120059857296614,11.318864171108872,0.992401485293865,0.9912411966400042,1.7235489359949308,2.8820885136206333e-05,0.3344105218717335,-0.0008630479104515826,0.0,0.07323232323232323,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,14,100.68120508544382,95.34472172613539,79.6264607281374,144.30021215757515,145.46078175040657,0.7034797228042919,0.5550760601747259,79.70488967440923,0.29194945146254925,2.3414809031834567,0.0,0.586969696969697,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,27,10.139796721930512,10.135535263596386,10.114827891627202,10.637156794897603,11.026624591214892,0.9929833606836982,0.9916904252050589,1.6715817418897694,2.901383125444179e-05,0.3413604210388976,-0.0037597574574251037,0.0,0.19464646464646465,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,27,98.59197926315917,92.72882962670825,78.85235831072919,142.1867638962065,144.8684100400935,0.713175067638204,0.562621824249299,77.94493966719342,0.3418853133544658,2.2733677682587325,0.0,0.5507070707070707,0.0,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,CG then POD,100,9.04242063358271,9.036891312313495,9.023461281594846,9.48655129930597,9.96417962623212,0.9944242291862739,0.993221449091613,1.5915891820559365,3.528374845399093e-05,0.346003424147692,-0.010721406317115626,0.0,0.9526262626262626,0.0
ratio_1_000000_num_1,1.0,1,10792,5396,101,99,Particle POD then CG,100,94.76122134959657,88.43156448026838,73.55373834549187,137.62514890037616,140.0233219149186,0.7279727891976256,0.5746001920860391,75.22211881715894,0.3313304749512926,2.197808421620201,0.0,0.49939393939393945,0.0,0.0
